"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
4,"Beach Green Stores","  Beach Green Stores, 134 Beach Green, Shoreham-By-Sea, West Sussex, BN43 5YA","BN43 5YA","LN/200500259","Alcohol OFF Sales/Supply",NA,NA,NA,-0.283771,50.828785
5,"Best Health Food Shop","  Best Health Food Shop, 33 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZD","BN43 5ZD","LN/201800318","Alcohol OFF Sales/Supply",NA,NA,NA,-0.273537,50.832935
6,"Bidfood","  Bidfood, 32 Chartwell Road, Lancing, West Sussex, BN15 8TU","BN15 8TU","LN/201800325","Alcohol OFF Sales/Supply",NA,NA,NA,-0.333711,50.82324
7,"Brio Ristorante","  Brio Ristorante, Restaurant, William De Braose House, 46 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WB","BN43 5WB","LN/200500371",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.272646,50.833606
8,"Buckingham Park Primary School","  Buckingham Park Primary School, Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UD","BN43 5UD","LN/200600089",NA,NA,NA,NA,-0.270575,50.83851
1,"Adur Express Convenience Store","  Adur Express Convenience Store, 141-143 The Gardens, Southwick, West Sussex, BN42 4AR","BN42 4AR","LN/200800206","Alcohol OFF Sales/Supply",NA,NA,NA,-0.227175,50.832408
2,"Adur Indoor Bowling Club","  Adur Indoor Bowling Club, Old Barn Way, Southwick, West Sussex, BN42 4NT","BN42 4NT","LN/200900156",NA,"Alcohol ON Sales/Supply",NA,NA,-0.224404,50.834345
3,"Albion Inn","  Albion Inn, 13 Fishersgate Terrace, Southwick, West Sussex, BN41 1PH","BN41 1PH","LN/200500351",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.218396,50.830989
4,"Ali Baba","  Ali Baba, 9 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/200500264","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.236313,50.834112
5,"Alishaan Indian Restaurant","  Alishaan Indian Restaurant, West Street, Sompting, West Sussex, BN15 0AP","BN15 0AP","LN/200500272",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.353147,50.83456
6,"Artisan Cafe","  Artisan Cafe, 2 Tarmount Lane, Shoreham-By-Sea, West Sussex, BN43 6DA","BN43 6DA","LN/201500162",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.273103,50.832785
7,"ASDA","  ASDA, South Street, Lancing, West Sussex, BN15 8AG","BN15 8AG","LN/200500246","Alcohol OFF Sales/Supply",NA,NA,"Late Night Refresh",-0.323213,50.826204
8,"Atlantic Store","  Atlantic Store, 13 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200800108","Alcohol OFF Sales/Supply",NA,NA,NA,-0.271918,50.829069
