Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6758,Licensing Act 2003,Premises Licence,Granted,Yapton Community Hall Trustees,,Yapton & Ford Village Hall,"The Yapton And Ford Village Hall, Main Road, Yapton, Arundel, West Sussex, BN18 0ET",24/08/2010,,
6759,Licensing Act 2003,Premises Licence,Granted,Tei Jian Wei,,Millennium Dragon,"32 Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ",24/11/2005,,
6760,Licensing Act 2003,Premises Licence,Granted,Mr A Uzun,,Golden Grill,"11 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7AS",17/01/2013,,Arun
6767,Licensing Act 2003,Premises Licence,Granted,Peter Arnett,,Crown Bingo & Social Club,"64 London Road, BOGNOR REGIS, West Sussex, PO21 1PT",22/07/2017,,
6775,Licensing Act 2003,Premises Licence,Granted,Mr Steven Jack Morrell,,Dewdrop Inn,"THE DEW DROP INN, 96, Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JS",24/11/2005,,
6781,Licensing Act 2003,Premises Licence,Surrendered,Mrs Mandy Sommerford,,Panama Joe's,"8 - 10 Arcade Road, Littlehampton, West Sussex, BN17 5AP",19/04/2017,,Arun
6784,Licensing Act 2003,Premises Licence,Granted,Shiria Begum,,Cardamom Bay,"43 - 45 Queensway, Bognor Regis, West Sussex, PO21 1QN",13/12/2017,,
6788,Licensing Act 2003,Premises Licence,Granted,Gonjom Ltd - Bognor Charcoal Grill,,Bognor Regis Charcoal Grill,"33 Station Road, Bognor Regis, West Sussex, PO21 1QD",29/01/2015,,Arun
6789,Licensing Act 2003,Premises Licence,Suspended,Mr R Heagarty,,"Pier Hotel, Bar & Diner (Belle Vue Hotel)","Belle Vue Hotel, Waterloo Square, Bognor Regis, West Sussex, PO21 1TA",09/09/2016,,Arun
6796,Licensing Act 2003,Premises Licence,Granted,Peel Leisure & Co Ltd,,Steam Packet,"THE STEAM PACKET, 54, River Road, LITTLEHAMPTON, West Sussex, BN17 5BZ",09/11/2015,,
6799,Licensing Act 2003,Premises Licence,Granted,Hawthorn Supermarket Ltd,,Spar,"53 Hawthorn Road, Bognor Regis, West Sussex, PO21 2BW",21/03/2018,,Arun
6800,Licensing Act 2003,Premises Licence,Granted,Mr Mustafa Sen,,Sen Med Tapas Bar,"6 Sudley Road, BOGNOR REGIS, West Sussex, PO21 1EU",24/11/2005,,Arun
6804,Licensing Act 2003,Premises Licence,Granted,Mr Matab Miah,,Tandoori Nights,"35 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RD",24/11/2005,,
6809,Licensing Act 2003,Premises Licence,Granted,Mr R Gunaratnam,,Gallent Store,"8, Madeira Parade, Madeira Avenue, Bognor Regis, West Sussex, PO22 8DX",25/08/2016,,Arun
6817,Licensing Act 2003,Premises Licence,Granted,The Fish Factory (Littlehampton),,Fish Factory,"5 - 7 East Street, LITTLEHAMPTON, West Sussex, BN17 6AU",10/07/2009,,
6821,Licensing Act 2003,Premises Licence,Granted,The Rector And Churchwardens,,St Marys Centre,"ST MARYS CENTRE, Grassmere Close, Felpham, BOGNOR REGIS, West Sussex, PO22 7NU",26/05/2017,,Arun
6822,Licensing Act 2003,Premises Licence,Granted,Hall and Woodhouse Ltd,,Black Rabbit Inn,"The Black Rabbit Inn, Mill Road, South Stoke, Arundel, West Sussex, BN18 9PB",19/08/2016,,
6826,Licensing Act 2003,Premises Licence,Granted,Butlers Arundel Ltd,,Butlers,"Butlers Bar And Restaurant, 25, Tarrant Street, Arundel, West Sussex, BN18 9DG",31/08/2017,,Arun
6831,Licensing Act 2003,Premises Licence,Granted,Harvey & Son (Lewes) Ltd,,White Hart Public House,"White Hart, 12, Queen Street, Arundel, West Sussex, BN18 9JG",06/09/2011,,
